5 Minutes,Flow (Veh/5 Minutes)
1-7-2021 15:24,76
1-7-2021 15:29,57
1-7-2021 15:35,75
1-7-2021 15:40,75
1-7-2021 15:45,55
1-7-2021 15:49,68
1-7-2021 15:54,70
1-7-2021 16:00,48
1-7-2021 16:05,76
1-7-2021 16:09,76
1-7-2021 16:14,46
1-7-2021 16:20,74
1-7-2021 16:25,76
1-7-2021 16:30,63
1-7-2021 16:34,76
1-7-2021 16:39,78
1-7-2021 16:45,67
1-7-2021 16:50,81
1-7-2021 16:54,73
1-7-2021 16:59,52
1-7-2021 17:05,66
1-7-2021 17:10,68
1-7-2021 17:15,41
1-7-2021 17:19,76
1-7-2021 17:24,68
1-7-2021 17:30,64
1-7-2021 17:35,79
1-7-2021 17:39,73
1-7-2021 17:44,57
1-7-2021 17:50,69
1-7-2021 17:55,68
1-7-2021 18:00,64
1-7-2021 18:04,76
1-7-2021 18:09,66
1-7-2021 18:15,65
1-7-2021 18:20,77
1-7-2021 18:24,76
1-7-2021 18:29,62
1-7-2021 18:35,73
1-7-2021 18:40,66
1-7-2021 18:45,54
1-7-2021 18:49,81
1-7-2021 18:54,67
1-7-2021 19:00,53
1-7-2021 19:05,72
1-7-2021 19:09,48
1-7-2021 19:14,68
1-7-2021 19:20,75
1-7-2021 19:25,63
1-7-2021 19:30,54
1-7-2021 19:34,58
1-7-2021 19:39,69
1-7-2021 19:45,52
1-7-2021 19:50,46
1-7-2021 19:54,51
1-7-2021 19:59,61
1-7-2021 20:05,54
1-7-2021 20:10,51
1-7-2021 20:15,62
1-7-2021 20:19,54
1-7-2021 20:24,49
1-7-2021 20:30,48
1-7-2021 20:35,44
1-7-2021 20:39,50
1-7-2021 20:44,35
1-7-2021 20:50,59
1-7-2021 20:55,42
1-7-2021 21:00,46
1-7-2021 21:04,48
1-7-2021 21:09,41
1-7-2021 21:15,41
1-7-2021 21:20,47
1-7-2021 21:24,51
1-7-2021 21:29,42
1-7-2021 21:35,42
1-7-2021 21:40,37
1-7-2021 21:45,40
1-7-2021 21:49,33
1-7-2021 21:54,37
1-7-2021 22:00,32
1-7-2021 22:05,42
1-7-2021 22:09,42
1-7-2021 22:14,37
1-7-2021 22:20,36
1-7-2021 22:25,28
1-7-2021 22:30,27
1-7-2021 22:34,38
1-7-2021 22:39,31
1-7-2021 22:45,36
1-7-2021 22:50,35
1-7-2021 22:54,32
1-7-2021 22:59,33
1-7-2021 23:05,33
1-7-2021 23:10,41
1-7-2021 23:15,22
1-7-2021 23:19,23
1-7-2021 23:24,21
1-7-2021 23:30,29
1-7-2021 23:35,43
1-7-2021 23:39,37
1-7-2021 23:44,33
1-7-2021 23:50,31
1-7-2021 23:55,29
1-8-2021 0:00,22
1-8-2021 0:04,24
1-8-2021 0:09,27
1-8-2021 0:15,26
1-8-2021 0:20,23
1-8-2021 0:24,20
1-8-2021 0:29,21
1-8-2021 0:35,19
1-8-2021 0:40,23
1-8-2021 0:45,17
1-8-2021 0:49,13
1-8-2021 0:54,14
1-8-2021 1:00,11
1-8-2021 1:05,17
1-8-2021 1:09,13
1-8-2021 1:14,16
1-8-2021 1:20,14
1-8-2021 1:25,13
1-8-2021 1:30,18
1-8-2021 1:34,19
1-8-2021 1:39,13
1-8-2021 1:45,11
1-8-2021 1:50,12
1-8-2021 1:54,12
1-8-2021 1:59,12
1-8-2021 2:05,13
1-8-2021 2:10,13
1-8-2021 2:15,12
1-8-2021 2:19,12
1-8-2021 2:24,9
1-8-2021 2:30,11
1-8-2021 2:35,12
1-8-2021 2:39,8
1-8-2021 2:44,13
1-8-2021 2:50,11
1-8-2021 2:55,9
1-8-2021 3:00,11
1-8-2021 3:04,13
1-8-2021 3:09,13
1-8-2021 3:15,9
1-8-2021 3:20,15
1-8-2021 3:24,10
1-8-2021 3:29,13
1-8-2021 3:35,11
1-8-2021 3:40,9
1-8-2021 3:45,13
1-8-2021 3:49,14
1-8-2021 3:54,15
1-8-2021 4:00,11
1-8-2021 4:05,9
1-8-2021 4:09,13
1-8-2021 4:14,14
1-8-2021 4:20,14
1-8-2021 4:25,18
1-8-2021 4:30,10
1-8-2021 4:34,15
1-8-2021 4:39,15
1-8-2021 4:45,19
1-8-2021 4:50,22
1-8-2021 4:54,18
1-8-2021 4:59,17
1-8-2021 5:05,20
1-8-2021 5:10,14
1-8-2021 5:15,22
1-8-2021 5:19,24
1-8-2021 5:24,26
1-8-2021 5:30,26
1-8-2021 5:35,32
1-8-2021 5:39,30
1-8-2021 5:44,34
1-8-2021 5:50,32
1-8-2021 5:55,32
1-8-2021 6:00,40
1-8-2021 6:04,43
1-8-2021 6:09,41
1-8-2021 6:15,48
1-8-2021 6:20,41
1-8-2021 6:24,41
1-8-2021 6:29,54
1-8-2021 6:35,44
1-8-2021 6:40,46
1-8-2021 6:45,66
1-8-2021 6:49,56
1-8-2021 6:54,36
1-8-2021 7:00,56
1-8-2021 7:05,49
1-8-2021 7:09,55
1-8-2021 7:14,69
1-8-2021 7:20,53
1-8-2021 7:25,56
1-8-2021 7:30,67
1-8-2021 7:34,62
1-8-2021 7:39,55
1-8-2021 7:45,75
1-8-2021 7:50,59
1-8-2021 7:54,50
1-8-2021 7:59,64
1-8-2021 8:05,71
1-8-2021 8:10,67
1-8-2021 8:15,59
1-8-2021 8:19,62
1-8-2021 8:24,65
1-8-2021 8:30,65
1-8-2021 8:35,71
1-8-2021 8:39,55
1-8-2021 8:44,75
1-8-2021 8:50,66
1-8-2021 8:55,50
1-8-2021 9:00,65
1-8-2021 9:04,66
1-8-2021 9:09,49
1-8-2021 9:15,69
1-8-2021 9:20,66
1-8-2021 9:24,58
1-8-2021 9:29,70
1-8-2021 9:35,66
1-8-2021 9:40,47
1-8-2021 9:45,76
1-8-2021 9:49,73
1-8-2021 9:54,56
1-8-2021 10:00,65
1-8-2021 10:05,58
1-8-2021 10:09,53
1-8-2021 10:14,69
1-8-2021 10:20,68
1-8-2021 10:25,55
1-8-2021 10:30,55
1-8-2021 10:34,75
1-8-2021 10:39,58
1-8-2021 10:45,64
1-8-2021 10:50,67
1-8-2021 10:54,64
1-8-2021 10:59,47
1-8-2021 11:05,71
1-8-2021 11:10,66
1-8-2021 11:15,73
1-8-2021 11:19,72
1-8-2021 11:24,56
1-8-2021 11:30,76
1-8-2021 11:35,71
1-8-2021 11:39,62
1-8-2021 11:44,67
1-8-2021 11:50,64
1-8-2021 11:55,61
1-8-2021 12:00,64
1-8-2021 12:04,73
1-8-2021 12:09,66
1-8-2021 12:15,70
1-8-2021 12:20,82
1-8-2021 12:24,64
1-8-2021 12:29,66
1-8-2021 12:35,68
1-8-2021 12:40,61
1-8-2021 12:45,69
1-8-2021 12:49,78
1-8-2021 12:54,63
1-8-2021 13:00,73
1-8-2021 13:05,76
1-8-2021 13:09,69
1-8-2021 13:14,66
1-8-2021 13:20,76
1-8-2021 13:25,64
1-8-2021 13:30,74
1-8-2021 13:34,80
1-8-2021 13:39,68
1-8-2021 13:45,70
1-8-2021 13:50,81
1-8-2021 13:54,68
1-8-2021 13:59,64
1-8-2021 14:05,69
1-8-2021 14:10,70
1-8-2021 14:15,72
1-8-2021 14:19,76
1-8-2021 14:24,66
1-8-2021 14:30,62
1-8-2021 14:35,70
1-8-2021 14:39,77
1-8-2021 14:44,67
1-8-2021 14:50,81
1-8-2021 14:55,69
1-8-2021 15:00,64
1-8-2021 15:04,64
1-8-2021 15:09,67
1-8-2021 15:15,60
1-8-2021 15:20,66
1-8-2021 15:24,78
1-8-2021 15:29,61
1-8-2021 15:35,79
1-8-2021 15:40,75
1-8-2021 15:45,67
1-8-2021 15:49,76
1-8-2021 15:54,55
1-8-2021 16:00,48
1-8-2021 16:05,55
1-8-2021 16:09,53
1-8-2021 16:14,55
1-8-2021 16:20,55
1-8-2021 16:25,45
1-8-2021 16:30,55
1-8-2021 16:34,60
1-8-2021 16:39,75
1-8-2021 16:45,69
1-8-2021 16:50,77
1-8-2021 16:54,71
1-8-2021 16:59,57
1-8-2021 17:05,73
1-8-2021 17:10,73
1-8-2021 17:15,63
1-8-2021 17:19,77
1-8-2021 17:24,76
1-8-2021 17:30,63
1-8-2021 17:35,78
1-8-2021 17:39,73
1-8-2021 17:44,62
1-8-2021 17:50,64
1-8-2021 17:55,75
1-8-2021 18:00,57
1-8-2021 18:04,83
1-8-2021 18:09,72
1-8-2021 18:15,62
1-8-2021 18:20,71
1-8-2021 18:24,70
1-8-2021 18:29,61
1-8-2021 18:35,66
1-8-2021 18:40,76
1-8-2021 18:45,65
1-8-2021 18:49,51
1-8-2021 18:54,76
1-8-2021 19:00,57
1-8-2021 19:05,66
1-8-2021 19:09,75
1-8-2021 19:14,65
1-8-2021 19:20,73
1-8-2021 19:25,65
1-8-2021 19:30,71
1-8-2021 19:34,67
1-8-2021 19:39,72
1-8-2021 19:45,73
1-8-2021 19:50,58
1-8-2021 19:54,62
1-8-2021 19:59,66
1-8-2021 20:05,57
1-8-2021 20:10,69
1-8-2021 20:15,54
1-8-2021 20:19,68
1-8-2021 20:24,52
1-8-2021 20:30,49
1-8-2021 20:35,46
1-8-2021 20:39,58
1-8-2021 20:44,57
1-8-2021 20:50,48
1-8-2021 20:55,62
1-8-2021 21:00,49
1-8-2021 21:04,54
1-8-2021 21:09,48
1-8-2021 21:15,59
1-8-2021 21:20,42
1-8-2021 21:24,39
1-8-2021 21:29,41
1-8-2021 21:35,46
1-8-2021 21:40,43
1-8-2021 21:45,48
1-8-2021 21:49,39
1-8-2021 21:54,41
1-8-2021 22:00,40
1-8-2021 22:05,36
1-8-2021 22:09,41
1-8-2021 22:14,31
1-8-2021 22:20,37
1-8-2021 22:25,43
1-8-2021 22:30,28
1-8-2021 22:34,41
1-8-2021 22:39,42
1-8-2021 22:45,35
1-8-2021 22:50,21
1-8-2021 22:54,41
1-8-2021 22:59,28
1-8-2021 23:05,42
1-8-2021 23:10,39
1-8-2021 23:15,19
1-8-2021 23:19,34
1-8-2021 23:24,27
1-8-2021 23:30,35
1-8-2021 23:35,38
1-8-2021 23:39,40
1-8-2021 23:44,42
1-8-2021 23:50,31
1-8-2021 23:55,27
1-9-2021 0:00,22
1-9-2021 0:04,30
1-9-2021 0:09,30
1-9-2021 0:15,35
1-9-2021 0:20,23
1-9-2021 0:24,19
1-9-2021 0:29,26
1-9-2021 0:35,20
1-9-2021 0:40,28
1-9-2021 0:45,17
1-9-2021 0:49,24
1-9-2021 0:54,19
1-9-2021 1:00,16
1-9-2021 1:05,15
1-9-2021 1:09,13
1-9-2021 1:14,13
1-9-2021 1:20,18
1-9-2021 1:25,15
1-9-2021 1:30,18
1-9-2021 1:34,19
1-9-2021 1:39,15
1-9-2021 1:45,17
1-9-2021 1:50,18
1-9-2021 1:54,17
1-9-2021 1:59,20
1-9-2021 2:05,13
1-9-2021 2:10,14
1-9-2021 2:15,10
1-9-2021 2:19,14
1-9-2021 2:24,13
1-9-2021 2:30,12
1-9-2021 2:35,16
1-9-2021 2:39,12
1-9-2021 2:44,19
1-9-2021 2:50,14
1-9-2021 2:55,11
1-9-2021 3:00,12
1-9-2021 3:04,15
1-9-2021 3:09,18
1-9-2021 3:15,13
1-9-2021 3:20,20
1-9-2021 3:24,16
1-9-2021 3:29,14
1-9-2021 3:35,13
1-9-2021 3:40,13
1-9-2021 3:45,14
1-9-2021 3:49,20
1-9-2021 3:54,12
1-9-2021 4:00,12
1-9-2021 4:05,12
1-9-2021 4:09,13
1-9-2021 4:14,10
1-9-2021 4:20,13
1-9-2021 4:25,14
1-9-2021 4:30,11
1-9-2021 4:34,14
1-9-2021 4:39,16
1-9-2021 4:45,17
1-9-2021 4:50,13
1-9-2021 4:54,13
1-9-2021 4:59,16
1-9-2021 5:05,23
1-9-2021 5:10,27
1-9-2021 5:15,27
1-9-2021 5:19,17
1-9-2021 5:24,27
1-9-2021 5:30,30
1-9-2021 5:35,46
1-9-2021 5:39,35
1-9-2021 5:44,31
1-9-2021 5:50,31
1-9-2021 5:55,32
1-9-2021 6:00,22
1-9-2021 6:04,38
1-9-2021 6:09,30
1-9-2021 6:15,20
1-9-2021 6:20,34
1-9-2021 6:24,27
1-9-2021 6:29,29
1-9-2021 6:35,36
1-9-2021 6:40,26
1-9-2021 6:45,41
1-9-2021 6:49,27
1-9-2021 6:54,30
1-9-2021 7:00,20
1-9-2021 7:05,36
1-9-2021 7:09,27
1-9-2021 7:14,34
1-9-2021 7:20,34
1-9-2021 7:25,25
1-9-2021 7:30,34
1-9-2021 7:34,35
1-9-2021 7:39,48
1-9-2021 7:45,60
1-9-2021 7:50,41
1-9-2021 7:54,42
1-9-2021 7:59,29
1-9-2021 8:05,47
1-9-2021 8:10,41
1-9-2021 8:15,34
1-9-2021 8:19,56
1-9-2021 8:24,43
1-9-2021 8:30,48
1-9-2021 8:35,55
1-9-2021 8:39,69
1-9-2021 8:44,45
1-9-2021 8:50,52
1-9-2021 8:55,38
1-9-2021 9:00,45
1-9-2021 9:04,34
1-9-2021 9:09,66
1-9-2021 9:15,58
1-9-2021 9:20,43
1-9-2021 9:24,54
1-9-2021 9:29,61
1-9-2021 9:35,55
1-9-2021 9:40,73
1-9-2021 9:45,58
1-9-2021 9:49,62
1-9-2021 9:54,61
1-9-2021 10:00,58
1-9-2021 10:05,75
1-9-2021 10:09,69
1-9-2021 10:14,60
1-9-2021 10:20,75
1-9-2021 10:25,69
1-9-2021 10:30,66
1-9-2021 10:34,74
1-9-2021 10:39,72
1-9-2021 10:45,55
1-9-2021 10:50,77
1-9-2021 10:54,65
1-9-2021 10:59,66
1-9-2021 11:05,69
1-9-2021 11:10,65
1-9-2021 11:15,51
1-9-2021 11:19,66
1-9-2021 11:24,81
1-9-2021 11:30,55
1-9-2021 11:35,73
1-9-2021 11:39,77
1-9-2021 11:44,69
1-9-2021 11:50,71
1-9-2021 11:55,64
1-9-2021 12:00,66
1-9-2021 12:04,76
1-9-2021 12:09,69
1-9-2021 12:15,57
1-9-2021 12:20,75
1-9-2021 12:24,76
1-9-2021 12:29,66
1-9-2021 12:35,81
1-9-2021 12:40,75
1-9-2021 12:45,62
1-9-2021 12:49,78
1-9-2021 12:54,76
1-9-2021 13:00,69
1-9-2021 13:05,77
1-9-2021 13:09,80
1-9-2021 13:14,67
1-9-2021 13:20,69
1-9-2021 13:25,65
1-9-2021 13:30,65
1-9-2021 13:34,73
1-9-2021 13:39,73
1-9-2021 13:45,65
1-9-2021 13:50,78
1-9-2021 13:54,80
1-9-2021 13:59,69
1-9-2021 14:05,69
1-9-2021 14:10,74
1-9-2021 14:15,67
1-9-2021 14:19,74
1-9-2021 14:24,90
1-9-2021 14:30,67
1-9-2021 14:35,69
1-9-2021 14:39,83
1-9-2021 14:44,62
1-9-2021 14:50,78
1-9-2021 14:55,67
1-9-2021 15:00,45
1-9-2021 15:04,76
1-9-2021 15:09,72
1-9-2021 15:15,56
1-9-2021 15:20,78
1-9-2021 15:24,62
1-9-2021 15:29,64
1-9-2021 15:35,76
1-9-2021 15:40,72
1-9-2021 15:45,66
1-9-2021 15:49,71
1-9-2021 15:54,67
1-9-2021 16:00,76
1-9-2021 16:05,70
1-9-2021 16:09,64
1-9-2021 16:14,66
1-9-2021 16:20,74
1-9-2021 16:25,73
1-9-2021 16:30,64
1-9-2021 16:34,90
1-9-2021 16:39,66
1-9-2021 16:45,66
1-9-2021 16:50,76
1-9-2021 16:54,66
1-9-2021 16:59,76
1-9-2021 17:05,82
1-9-2021 17:10,64
1-9-2021 17:15,69
1-9-2021 17:19,70
